Airport_CODE,name_Airport,country_code_Airport,Airport_rwy_len_ft,Airport_rwy_wid_ft,Airport_latitude,Airport_longitude,Airport_elevation_ft,Airport_offset_hours,Airport_type
LGKV,Kavala Alexander the Great,GR,9844,148,40.9149993,24.61461605,18,3,medium_airport
LEMH,Mahon,ES,8366,148,51.8922026,-8.4042476,302,1,medium_airport
LTFD,Balikesir Koca Seyit,TR,9842,147,39.4838267,26.9330592,50,3,medium_airport
OEMA,Medina,SA,14222,197,29.2836281,-99.1126826,2151,-5,large_airport
LERS,Reus,ES,8054,148,41.1555564,1.1076133,233,2,medium_airport
ENSB,Svalbard,NO,7608,148,78.75,20.35,88,2,medium_airport
MPTO,Panama,PA,10006,200,8.559559,-81.1308434,135,-5,large_airport
LGMT,Mitilini,GR,7894,148,40.5125915,16.5532664,60,2,medium_airport
LGKR,Corfu,GR,7792,148,39.591337,19.85961892,6,3,medium_airport
LEAM,Almeria,ES,10499,148,36.8414197,-2.4628135,70,2,medium_airport
LGSR,Santorini,GR,7208,98,36.4071112,25.45666365,127,3,medium_airport
LFRS,Nantes,FR,9514,148,47.2186371,-1.5541362,90,2,medium_airport
LEGE,Gerona,ES,7874,148,41.9793006,2.8199439,468,2,medium_airport
EDDG,Munster Osnabruck,DE,7119,148,52.13464705,7.69617637,160,2,medium_airport
LGSM,Samos,GR,6706,148,42.730661,-7.3265903,19,2,medium_airport
EFTP,Tampere,FI,8858,148,61.4980214,23.7603118,390,3,medium_airport
EDXW,Sylt,DE,6955,148,54.90227835,8.33123868,51,2,medium_airport
LGKF,Kefallinia,GR,7992,148,38.2660322,20.53739028,59,3,medium_airport
LGLM,Lemnos,GR,9895,148,-36.34584115,145.4749511,14,10,small_airport
LDSP,Split,HR,8366,148,43.5116383,16.4399659,79,2,medium_airport
LYTV,Tivat,ME,8208,148,42.4303762,18.6988104,20,2,medium_airport
LTFO,Rize Artvin,TR,9843,148,41.1793273,40.850241,16,3,medium_airport
EPWR,Wroclaw,PL,8212,147,51.1089776,17.0326689,404,2,medium_airport
OKBK,Kuwait,##,11483,148,29.3796532,47.9734174,206,3,large_airport
OTHH,Doha Hamad,QA,15912,197,25.2805177,51.5315501,13,3,large_airport
LTCW,Hakkari Yuksekova,TR,10499,148,37.5717687,44.2821698,6400,3,medium_airport
OIIE,Tehran Imam Khomeini,IR,13940,148,35.7126993,51.2764618,3305,3.5,large_airport
LICA,Lamezia Terme,IT,9898,148,38.9645069,16.3021451,39,2,medium_airport
MDPC,Punta Cana,DO,10171,148,18.556551,-68.3691611,47,-4,large_airport
LIME,Bergamo,IT,9429,148,45.7566557,9.7542192,782,2,large_airport
EBKT,Kortrijk/Wevelgem,BE,6234,148,50.8089591,3.1841013,64,2,medium_airport
CYVR,Vancouver,CA,11500,200,49.2608724,-123.113952,14,-7,large_airport
LIEO,Olbia,IT,9006,148,40.9232659,9.5027442,37,2,medium_airport
LGKP,Karpathos,GR,7871,98,35.6136611,27.11925669,66,3,medium_airport
LTCK,Mus,TR,11649,148,43.741,4.20191,4157,2,medium_airport
LGSK,Skiathos,GR,5341,98,39.1692985,23.45525128,54,3,medium_airport
LKTB,Brno,CZ,8694,197,49.1922443,16.6113382,778,2,medium_airport
KRDU,Raleigh Durham,US,10000,150,37.6892095,-81.2812858,435,-4,large_airport
OJAI,Amman Queen Alia,JO,12008,200,31.72380235,36.00723699,2395,3,large_airport
LTAT,Malatya,TR,10990,148,38.3487153,38.3190674,2828,3,medium_airport
LGKL,Kalamata,GR,8868,148,-7.7499999,28.2499999,26,2,medium_airport
EGSH,Norwich,GB,6041,148,52.6285576,1.2923954,117,1,medium_airport
EGNM,Leeds,GB,7381,150,53.7974185,-1.5437941,681,1,medium_airport
EGNV,Teesside,GB,7516,148,54.50941065,-1.42479032,120,1,medium_airport
EGNJ,Humberside,GB,7205,148,43.6576937,-79.4925122,121,-4,medium_airport
LFKJ,Ajaccio,FR,7897,148,41.9263991,8.7376029,18,2,medium_airport
LFMV,Avignon,FR,6168,148,43.9492493,4.8059012,124,2,medium_airport
LGIO,Ioannina,GR,7874,148,39.6639818,20.8522784,1558,3,medium_airport
LBBG,Burgas,BG,10499,148,42.5040226,27.35496958,135,3,large_airport
LGSY,Skiros,GR,9849,98,-0.2042942,-78.4954324,44,-5,small_airport
LPPS,Porto Santo Madeira,PT,9861,148,33.0657845,-16.33622363,341,1,medium_airport
LGMK,Mikonos,GR,6240,98,37.45139365,25.39231487,405,3,medium_airport
LTAW,Tokat,TR,8858,148,40.38658275,36.65654601,1831,3,medium_airport
